보증금,월세,전용면적,해당층,총층,방수,욕실수,총주차대수,관리비,결측치개수,전용면적_가격_비율,매물_등록_경과일,매물확인방식_전화확인,매물확인방식_현장확인,방향_남서향,방향_남향,방향_동향,방향_북동향,방향_북서향,방향_북향,방향_서향,주차가능여부_불가능,계절_겨울,계절_봄,계절_여름,매물_HC_2,매물_HC_3,매물_HC_4,매물_HC_5,매물_HC_6,지역_KMedoids_1,지역_KMedoids_2,지역_KMedoids_3,지역_KMedoids_4,지역_KMedoids_5,지역_KMedoids_6,지역_KMedoids_7,지역_KMedoids_8,지역_KMedoids_9,지역_KMedoids_10
15600.0,55.0,26.25,3.0,7.0,1.0,1.0,5.0,0,0,0.0001343101343101343,381,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
650.0,29.0,40.89,6.0,6.0,1.0,1.0,11.0,5,0,0.001279229452376921,85,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17850.0,24.0,22.55,2.0,3.0,1.0,1.0,1.0,0,0,5.962473681268516e-05,222,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
13100.0,11.0,18.59,4.0,7.0,1.0,1.0,2.0,0,0,4.516915849857717e-05,62,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10600.0,6.0,20.89,18.0,18.0,1.0,1.0,1.0,14,0,9.032036633940588e-05,358,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
15350.0,13.0,26.66,7.0,8.0,2.0,2.0,3.0,7,0,4.887215289164311e-05,533,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
17200.0,58.0,27.16,2.0,5.0,1.0,1.0,31.0,4,0,0.00013271911497756618,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
8800.0,15.0,24.69,11.0,14.0,1.0,1.0,21.0,0,0,6.903788799293051e-05,29,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
16050.0,59.0,17.5,2.0,3.0,2.0,1.0,44.0,0,0,0.000210057854917668,323,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
8250.0,47.0,17.5,4.0,11.0,1.0,1.0,21.0,5,1,0.0003601731601731602,143,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
40500.0,31.0,37.98,4.0,18.0,1.0,1.0,38.0,0,0,2.015355710282865e-05,314,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10800.0,48.0,32.84,3.0,10.0,2.0,1.0,30.0,0,0,0.00013533631073216944,243,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17750.0,26.0,31.32,4.0,5.0,1.0,1.0,1.0,0,0,4.676847804579713e-05,456,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18650.0,74.0,28.67,4.0,7.0,1.0,1.0,1.0,0,0,0.00013839652662122647,339,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32150.0,23.0,26.44,2.0,3.0,2.0,1.0,17.0,2,1,2.9410173096514774e-05,112,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1050.0,21.0,17.5,3.0,10.0,1.0,1.0,4.0,17,0,0.002068027210884354,119,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14700.0,30.0,19.8,3.0,4.0,1.0,1.0,2.0,8,0,0.00013055727341441627,83,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2500.0,17.0,36.36,3.0,6.0,2.0,1.0,4.0,7,0,0.000264026402640264,139,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
500.0,55.0,25.43,6.0,7.0,1.0,1.0,18.0,0,0,0.004325599685410932,345,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
19300.0,51.0,30.68,6.0,10.0,1.0,1.0,12.0,4,0,9.288594956461822e-05,312,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7800.0,57.0,19.09,3.0,3.0,1.0,1.0,13.0,5,0,0.000416381244039704,252,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7000.0,53.0,17.5,4.0,9.0,1.0,1.0,8.0,7,1,0.0004897959183673469,59,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11600.0,41.0,17.5,12.0,13.0,1.0,1.0,17.0,8,1,0.00024137931034482756,94,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6950.0,68.0,17.5,2.0,6.0,1.0,1.0,5.0,0,0,0.0005590955806783145,88,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9050.0,26.0,17.5,11.0,18.0,2.0,2.0,14.0,0,0,0.00016416732438831886,33,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
8900.0,39.0,29.92,4.0,7.0,2.0,1.0,17.0,11,1,0.00018776662861262993,128,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3300.0,37.0,40.89,4.0,6.0,1.0,1.0,11.0,3,1,0.00029643463245811007,153,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
39200.0,15.0,17.5,12.0,14.0,1.0,1.0,104.0,10,0,3.644314868804665e-05,124,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8050.0,43.0,17.5,12.0,14.0,1.0,1.0,104.0,7,0,0.00035492457852706296,146,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9400.0,72.0,21.16,9.0,15.0,1.0,1.0,17.0,3,0,0.00037706632345251977,78,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
34600.0,64.0,30.55,3.0,6.0,2.0,2.0,44.0,1,0,6.149305128520476e-05,62,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
13150.0,24.0,35.24,5.0,7.0,1.0,1.0,30.0,0,0,5.179043862185642e-05,507,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3250.0,31.0,34.45,7.0,10.0,1.0,1.0,50.0,9,0,0.00035726247627553866,182,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15650.0,48.0,17.57,1.0,3.0,2.0,2.0,41.0,14,0,0.00022547873317319496,213,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
12650.0,3.0,31.13,6.0,8.0,1.0,1.0,16.0,5,0,2.031516438142229e-05,414,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16750.0,20.0,32.78,3.0,3.0,1.0,1.0,41.0,0,0,3.642555981532241e-05,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19550.0,10.0,38.96,3.0,14.0,1.0,1.0,33.0,10,0,2.6258159723133962e-05,359,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2200.0,12.0,29.98,7.0,8.0,2.0,1.0,6.0,0,0,0.00018193947480138275,131,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2200.0,48.0,48.07,3.0,5.0,2.0,1.0,4.0,0,0,0.00045388354104809275,134,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
39200.0,15.0,17.5,4.0,16.0,1.0,1.0,34.0,10,1,3.644314868804665e-05,183,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33800.0,24.0,21.88,6.0,6.0,1.0,1.0,32.0,0,0,3.2452430146144114e-05,372,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
10450.0,14.0,28.16,1.0,12.0,1.0,1.0,41.0,9,0,7.815898216615919e-05,4,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
39300.0,63.0,21.88,4.0,6.0,1.0,1.0,8.0,10,0,8.489517190690838e-05,112,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
7350.0,18.0,35.03,3.0,8.0,1.0,1.0,50.0,5,0,8.933062234314222e-05,322,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13800.0,54.0,20.21,8.0,9.0,1.0,1.0,23.0,6,0,0.0002151324140008175,556,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7550.0,48.0,17.5,2.0,3.0,2.0,1.0,27.0,0,0,0.00036329233680227057,436,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2200.0,39.0,19.83,2.0,7.0,1.0,1.0,17.0,4,1,0.0009856507587218631,194,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8700.0,36.0,27.25,8.0,11.0,1.0,1.0,26.0,5,0,0.00017294105240957502,309,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
16450.0,11.0,31.86,4.0,6.0,2.0,1.0,4.0,9,0,3.8160874799893915e-05,80,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7050.0,56.0,18.9,2.0,8.0,1.0,1.0,4.0,9,0,0.0004878231828586439,72,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1200.0,26.0,18.54,14.0,21.0,1.0,1.0,109.0,10,0,0.0016181229773462784,288,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1100.0,74.0,25.49,4.0,7.0,1.0,1.0,1.0,1,1,0.0026748457505617177,318,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1700.0,68.0,22.17,6.0,6.0,1.0,1.0,27.0,5,0,0.0019369046671442593,159,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
550.0,38.0,26.44,4.0,6.0,1.0,1.0,3.0,1,0,0.0026818869481501856,36,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
3000.0,72.0,19.8,5.0,8.0,1.0,1.0,5.0,1,0,0.0012289562289562288,69,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15350.0,29.0,18.88,4.0,19.0,1.0,1.0,25.0,0,0,0.00010006625075912329,362,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14250.0,45.0,34.54,2.0,2.0,1.0,1.0,21.0,1,0,9.345889332480013e-05,265,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36650.0,41.0,26.25,3.0,7.0,1.0,1.0,4.0,5,0,4.781394140193594e-05,173,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
18800.0,31.0,24.29,4.0,11.0,1.0,1.0,34.0,8,0,8.540420276271646e-05,389,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2550.0,74.0,40.12,4.0,6.0,1.0,1.0,2.0,10,1,0.00082106621312533,61,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40200.0,15.0,43.03,5.0,10.0,2.0,1.0,19.0,0,0,8.671492641371345e-06,95,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
40650.0,59.0,32.34,4.0,6.0,2.0,1.0,1.0,6,0,4.9443908168209696e-05,347,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7600.0,55.0,19.83,2.0,5.0,1.0,1.0,17.0,5,1,0.00039812086949597903,178,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36350.0,47.0,33.8,3.0,7.0,2.0,1.0,17.0,10,1,4.639313707137218e-05,99,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8900.0,40.0,17.5,4.0,5.0,1.0,1.0,2.0,10,0,0.00032102728731942215,82,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10600.0,45.0,17.5,9.0,21.0,1.0,1.0,238.0,14,0,0.0003180592991913747,95,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
800.0,5.0,29.96,9.0,9.0,2.0,1.0,1.0,10,0,0.0006258344459279038,137,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19350.0,38.0,27.35,1.0,2.0,1.0,1.0,17.0,9,0,8.880952718374595e-05,106,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
15450.0,8.0,17.5,7.0,7.0,1.0,1.0,4.0,5,0,4.808136846971798e-05,206,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6900.0,39.0,28.6,2.0,3.0,2.0,1.0,17.0,0,1,0.0001976284584980237,152,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32750.0,39.0,39.15,10.0,16.0,2.0,2.0,1.0,0,0,3.0417361293907755e-05,499,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
3000.0,32.0,29.04,4.0,4.0,1.0,1.0,6.0,2,0,0.00039026629935720846,438,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14900.0,29.0,30.49,10.0,19.0,2.0,1.0,4.0,7,0,7.92426166792501e-05,487,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
750.0,17.0,30.17,3.0,4.0,1.0,1.0,43.0,10,0,0.0011932383162081537,95,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1050.0,54.0,19.83,4.0,3.0,1.0,1.0,17.0,0,2,0.002593473092716663,117,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19300.0,45.0,17.5,4.0,4.0,1.0,1.0,1.0,2,0,0.0001391561806069578,69,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
800.0,19.0,28.09,2.0,3.0,2.0,1.0,17.0,16,1,0.0015574937700249198,605,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1850.0,38.0,17.5,5.0,6.0,2.0,1.0,17.0,9,1,0.0014517374517374517,76,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
14800.0,38.0,31.68,2.0,2.0,2.0,1.0,1.0,3,0,8.744539994539995e-05,419,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2200.0,35.0,17.5,12.0,15.0,1.0,1.0,9.0,6,0,0.0010649350649350648,313,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15300.0,14.0,30.94,7.0,20.0,2.0,2.0,16.0,0,0,2.9574424038091856e-05,510,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2600.0,33.0,25.77,5.0,8.0,1.0,1.0,6.0,0,0,0.0004925226112653353,275,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
40600.0,32.0,20.47,5.0,10.0,1.0,1.0,22.0,0,0,3.8504022467097114e-05,370,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
15000.0,75.0,44.76,5.0,6.0,2.0,1.0,4.0,17,0,0.00013702710753649093,306,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16550.0,49.0,36.85,2.0,3.0,1.0,1.0,3.0,15,0,0.0001049408273108503,444,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15350.0,11.0,18.64,5.0,20.0,1.0,1.0,3.0,8,0,6.640477555185862e-05,539,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33800.0,28.0,32.48,9.0,11.0,1.0,1.0,45.0,9,0,3.3703034366164346e-05,463,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1250.0,68.0,30.98,1.0,19.0,2.0,1.0,2.0,3,0,0.0018334409296320207,285,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
37650.0,64.0,33.3,8.0,18.0,1.0,1.0,2.0,0,0,5.104706299925424e-05,158,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17350.0,5.0,40.86,3.0,6.0,2.0,1.0,17.0,9,1,1.974832174530025e-05,61,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10900.0,41.0,29.69,4.0,7.0,2.0,1.0,1.0,1,1,0.0001297814418718192,246,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
39850.0,64.0,39.66,3.0,5.0,2.0,1.0,5.0,15,0,4.998573192082514e-05,59,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10500.0,22.0,28.82,5.0,6.0,1.0,1.0,7.0,11,0,0.00010905125408942203,124,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15050.0,54.0,31.31,14.0,19.0,2.0,2.0,32.0,9,0,0.00013369679053426724,294,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2150.0,12.0,28.33,6.0,9.0,2.0,1.0,6.0,9,0,0.00034477380375803445,190,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17000.0,61.0,20.47,4.0,6.0,1.0,1.0,6.0,20,1,0.00023276530934796978,563,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
