ID,매물확인방식,보증금,월세,전용면적,해당층,총층,방향,방수,욕실수,주차가능여부,총주차대수,관리비,중개사무소,제공플랫폼,게재일,허위매물여부,매물_HC,매물_DBSCAN,월세+관리비,보증금_월세관리비_비율,전용면적_가격_비율,지역_KMedoids,지역_HDBSCAN,계절,매물_등록_경과일
TRAIN_0053,현장확인,10600.0,6.0,20.89,18.0,18.0,북동향,1.0,1.0,가능,1.0,14,G52Iz8V2B9,C플랫폼,2024-03-10,0,3,2,20.0,0.0018867924528301887,9.032036633940588e-05,2,5,봄,358
TRAIN_0054,현장확인,15350.0,13.0,26.66,7.0,8.0,남동향,2.0,2.0,불가능,3.0,7,G52Iz8V2B9,A플랫폼,2023-09-17,0,4,3,20.0,0.0013029315960912053,4.887215289164311e-05,10,1,가을,533
TRAIN_0055,전화확인,17200.0,58.0,27.16,2.0,5.0,북향,1.0,1.0,불가능,31.0,4,G52Iz8V2B9,A플랫폼,2025-03-02,0,3,2,62.0,0.0036046511627906975,0.00013271911497756618,1,5,봄,1
TRAIN_0058,서류확인,8800.0,15.0,24.69,11.0,14.0,동향,1.0,1.0,가능,21.0,0,G52Iz8V2B9,A플랫폼,2025-02-02,0,3,2,15.0,0.0017045454545454545,6.903788799293051e-05,2,5,겨울,29
TRAIN_0059,현장확인,16050.0,59.0,17.5,2.0,3.0,동향,2.0,1.0,불가능,44.0,0,G52Iz8V2B9,B플랫폼,2024-04-14,0,6,0,59.0,0.00367601246105919,0.000210057854917668,4,8,봄,323
TRAIN_0061,현장확인,8250.0,47.0,17.5,4.0,11.0,북서향,1.0,1.0,가능,21.0,5,O55VW6U4R7,A플랫폼,2024-10-11,0,2,2,52.0,0.006303030303030303,0.0003601731601731602,3,6,가을,143
TRAIN_0062,현장확인,40500.0,31.0,37.98,4.0,18.0,동향,1.0,1.0,불가능,38.0,0,G52Iz8V2B9,B플랫폼,2024-04-23,0,1,2,31.0,0.0007654320987654321,2.015355710282865e-05,5,10,봄,314
TRAIN_0063,현장확인,10800.0,48.0,32.84,3.0,10.0,북동향,2.0,1.0,가능,30.0,0,G52Iz8V2B9,A플랫폼,2024-07-03,0,6,0,48.0,0.0044444444444444444,0.00013533631073216944,4,8,여름,243
TRAIN_0064,현장확인,17750.0,26.0,31.32,4.0,5.0,북동향,1.0,1.0,가능,1.0,0,G52Iz8V2B9,B플랫폼,2023-12-03,0,1,2,26.0,0.0014647887323943661,4.676847804579713e-05,5,10,겨울,456
TRAIN_0065,현장확인,18650.0,74.0,28.67,4.0,7.0,동향,1.0,1.0,불가능,1.0,0,G52Iz8V2B9,C플랫폼,2024-03-29,0,1,2,74.0,0.003967828418230563,0.00013839652662122647,5,10,봄,339
TRAIN_0066,서류확인,32150.0,23.0,26.44,2.0,3.0,남향,2.0,1.0,불가능,17.0,2,D49QC8I7L2,A플랫폼,2024-11-11,0,6,0,25.0,0.0007776049766718507,2.9410173096514774e-05,4,8,가을,112
TRAIN_0067,현장확인,1050.0,21.0,17.5,3.0,10.0,남향,1.0,1.0,가능,4.0,17,k87TR0Q8N4,A플랫폼,2024-11-04,0,2,2,38.0,0.03619047619047619,0.002068027210884354,7,6,가을,119
TRAIN_0070,현장확인,14700.0,30.0,19.8,3.0,4.0,북동향,1.0,1.0,가능,2.0,8,Z81Jv8Z5G2,H플랫폼,2024-12-10,0,2,2,38.0,0.0025850340136054422,0.00013055727341441627,5,6,겨울,83
TRAIN_0071,서류확인,2500.0,17.0,36.36,3.0,6.0,동향,2.0,1.0,가능,4.0,7,m44pw5A9I1,A플랫폼,2024-10-15,0,6,0,24.0,0.0096,0.000264026402640264,4,8,가을,139
TRAIN_0073,현장확인,500.0,55.0,25.43,6.0,7.0,남향,1.0,1.0,가능,18.0,0,G52Iz8V2B9,A플랫폼,2024-03-23,0,3,2,55.0,0.11,0.004325599685410932,9,6,봄,345
TRAIN_0074,서류확인,19300.0,51.0,30.68,6.0,10.0,남향,1.0,1.0,가능,12.0,4,G52Iz8V2B9,A플랫폼,2024-04-25,0,1,2,55.0,0.002849740932642487,9.288594956461822e-05,5,10,봄,312
TRAIN_0075,현장확인,7800.0,57.0,19.09,3.0,3.0,남향,1.0,1.0,불가능,13.0,5,G52Iz8V2B9,A플랫폼,2024-06-24,0,2,2,62.0,0.007948717948717949,0.000416381244039704,3,6,여름,252
TRAIN_0078,현장확인,7000.0,53.0,17.5,4.0,9.0,남서향,1.0,1.0,불가능,8.0,7,f41Wq8P7T9,A플랫폼,2025-01-03,0,2,2,60.0,0.008571428571428572,0.0004897959183673469,3,6,겨울,59
TRAIN_0079,현장확인,11600.0,41.0,17.5,12.0,13.0,남향,1.0,1.0,불가능,17.0,8,o30ws9C6F7,A플랫폼,2024-11-29,0,2,2,49.0,0.004224137931034482,0.00024137931034482756,3,6,가을,94
TRAIN_0080,현장확인,6950.0,68.0,17.5,2.0,6.0,서향,1.0,1.0,가능,5.0,0,J52gJ2E4T6,C플랫폼,2024-12-05,0,2,2,68.0,0.009784172661870504,0.0005590955806783145,3,6,겨울,88
TRAIN_0081,현장확인,9050.0,26.0,17.5,11.0,18.0,남향,2.0,2.0,가능,14.0,0,G52Iz8V2B9,I플랫폼,2025-01-29,0,4,3,26.0,0.00287292817679558,0.00016416732438831886,1,1,겨울,33
TRAIN_0082,현장확인,8900.0,39.0,29.92,4.0,7.0,북서향,2.0,1.0,가능,17.0,11,C41wx1K6U9,B플랫폼,2024-10-26,0,6,0,50.0,0.0056179775280898875,0.00018776662861262993,4,8,가을,128
TRAIN_0083,현장확인,3300.0,37.0,40.89,4.0,6.0,남동향,1.0,1.0,가능,11.0,3,C10hv5Y7M9,C플랫폼,2024-10-01,0,1,2,40.0,0.012121212121212121,0.00029643463245811007,3,10,가을,153
TRAIN_0084,현장확인,39200.0,15.0,17.5,12.0,14.0,동향,1.0,1.0,가능,104.0,10,z40LO7P9C9,F플랫폼,2024-10-30,0,2,2,25.0,0.0006377551020408163,3.644314868804665e-05,5,6,가을,124
TRAIN_0086,서류확인,8050.0,43.0,17.5,12.0,14.0,서향,1.0,1.0,가능,104.0,7,W88DA3W2Q3,A플랫폼,2024-10-08,0,2,2,50.0,0.006211180124223602,0.00035492457852706296,3,6,가을,146
TRAIN_0087,현장확인,9400.0,72.0,21.16,9.0,15.0,동향,1.0,1.0,불가능,17.0,3,G52Iz8V2B9,D플랫폼,2024-12-15,0,3,2,75.0,0.007978723404255319,0.00037706632345251977,0,5,겨울,78
TRAIN_0089,현장확인,34600.0,64.0,30.55,3.0,6.0,남향,2.0,2.0,가능,44.0,1,G52Iz8V2B9,B플랫폼,2024-12-31,0,4,1,65.0,0.0018786127167630057,6.149305128520476e-05,2,2,겨울,62
TRAIN_0090,현장확인,13150.0,24.0,35.24,5.0,7.0,남동향,1.0,1.0,불가능,30.0,0,G52Iz8V2B9,D플랫폼,2023-10-13,0,1,2,24.0,0.0018250950570342205,5.179043862185642e-05,5,10,가을,507
TRAIN_0092,현장확인,3250.0,31.0,34.45,7.0,10.0,남동향,1.0,1.0,불가능,50.0,9,G52Iz8V2B9,A플랫폼,2024-09-02,0,1,2,40.0,0.012307692307692308,0.00035726247627553866,3,10,가을,182
TRAIN_0095,현장확인,15650.0,48.0,17.57,1.0,3.0,남동향,2.0,2.0,불가능,41.0,14,G52Iz8V2B9,A플랫폼,2024-08-02,0,4,3,62.0,0.0039616613418530355,0.00022547873317319496,1,1,여름,213
TRAIN_0097,현장확인,12650.0,3.0,31.13,6.0,8.0,동향,1.0,1.0,가능,16.0,5,G52Iz8V2B9,D플랫폼,2024-01-14,0,1,2,8.0,0.0006324110671936759,2.031516438142229e-05,5,10,겨울,414
TRAIN_0098,서류확인,16750.0,20.0,32.78,3.0,3.0,남동향,1.0,1.0,가능,41.0,0,G52Iz8V2B9,A플랫폼,2024-10-31,0,1,2,20.0,0.0011940298507462687,3.642555981532241e-05,5,10,가을,123
TRAIN_0099,현장확인,19550.0,10.0,38.96,3.0,14.0,남향,1.0,1.0,가능,33.0,10,G52Iz8V2B9,A플랫폼,2024-03-09,0,1,2,20.0,0.0010230179028132991,2.6258159723133962e-05,5,10,봄,359
TRAIN_0100,서류확인,2200.0,12.0,29.98,7.0,8.0,남향,2.0,1.0,가능,6.0,0,u92NN7A1E5,A플랫폼,2024-10-23,0,6,0,12.0,0.005454545454545455,0.00018193947480138275,4,8,가을,131
TRAIN_0101,현장확인,2200.0,48.0,48.07,3.0,5.0,남동향,2.0,1.0,가능,4.0,0,D26uW0Q2N3,A플랫폼,2024-10-20,0,5,0,48.0,0.02181818181818182,0.00045388354104809275,6,3,가을,134
TRAIN_0102,현장확인,39200.0,15.0,17.5,4.0,16.0,남향,1.0,1.0,가능,34.0,10,X71Iq5L2C6,A플랫폼,2024-09-01,0,2,2,25.0,0.0006377551020408163,3.644314868804665e-05,5,6,가을,183
TRAIN_0103,현장확인,33800.0,24.0,21.88,6.0,6.0,북향,1.0,1.0,가능,32.0,0,G52Iz8V2B9,F플랫폼,2024-02-25,0,3,2,24.0,0.0007100591715976331,3.2452430146144114e-05,10,5,겨울,372
TRAIN_0104,현장확인,10450.0,14.0,28.16,1.0,12.0,북향,1.0,1.0,가능,41.0,9,G52Iz8V2B9,A플랫폼,2025-02-27,0,3,2,23.0,0.002200956937799043,7.815898216615919e-05,2,5,겨울,4
TRAIN_0105,서류확인,39300.0,63.0,21.88,4.0,6.0,서향,1.0,1.0,가능,8.0,10,r82ax9M3U3,B플랫폼,2024-11-11,0,3,2,73.0,0.0018575063613231553,8.489517190690838e-05,2,5,가을,112
TRAIN_0107,현장확인,7350.0,18.0,35.03,3.0,8.0,남향,1.0,1.0,가능,50.0,5,G52Iz8V2B9,A플랫폼,2024-04-15,0,1,2,23.0,0.003129251700680272,8.933062234314222e-05,5,10,봄,322
TRAIN_0108,전화확인,13800.0,54.0,20.21,8.0,9.0,동향,1.0,1.0,불가능,23.0,6,G52Iz8V2B9,B플랫폼,2023-08-25,0,2,2,60.0,0.004347826086956522,0.0002151324140008175,3,6,여름,556
TRAIN_0109,현장확인,7550.0,48.0,17.5,2.0,3.0,남향,2.0,1.0,가능,27.0,0,G52Iz8V2B9,A플랫폼,2023-12-23,0,6,0,48.0,0.006357615894039735,0.00036329233680227057,4,8,겨울,436
TRAIN_0111,현장확인,2200.0,39.0,19.83,2.0,7.0,남동향,1.0,1.0,불가능,17.0,4,B44YF9W3O5,A플랫폼,2024-08-21,0,2,2,43.0,0.019545454545454546,0.0009856507587218631,8,6,여름,194
TRAIN_0114,현장확인,8700.0,36.0,27.25,8.0,11.0,동향,1.0,1.0,가능,26.0,5,G52Iz8V2B9,B플랫폼,2024-04-28,0,3,2,41.0,0.00471264367816092,0.00017294105240957502,1,5,봄,309
TRAIN_0115,서류확인,16450.0,11.0,31.86,4.0,6.0,동향,2.0,1.0,가능,4.0,9,S30er7F3P4,E플랫폼,2024-12-13,0,6,0,20.0,0.0012158054711246201,3.8160874799893915e-05,4,8,겨울,80
TRAIN_0116,서류확인,7050.0,56.0,18.9,2.0,8.0,남동향,1.0,1.0,가능,4.0,9,z54Fl0B2P9,A플랫폼,2024-12-21,0,2,2,65.0,0.009219858156028368,0.0004878231828586439,3,6,겨울,72
TRAIN_0117,현장확인,1200.0,26.0,18.54,14.0,21.0,북향,1.0,1.0,가능,109.0,10,Z18up3D1C3,A플랫폼,2024-05-19,1,2,2,36.0,0.03,0.0016181229773462784,7,6,봄,288
TRAIN_0118,현장확인,1100.0,74.0,25.49,4.0,7.0,남향,1.0,1.0,가능,1.0,1,s37cv8A6L4,A플랫폼,2024-04-19,1,3,2,75.0,0.06818181818181818,0.0026748457505617177,9,6,봄,318
TRAIN_0119,현장확인,1700.0,68.0,22.17,6.0,6.0,서향,1.0,1.0,가능,27.0,5,G52Iz8V2B9,B플랫폼,2024-09-25,0,3,2,73.0,0.04294117647058823,0.0019369046671442593,7,5,가을,159
TRAIN_0120,현장확인,550.0,38.0,26.44,4.0,6.0,남동향,1.0,1.0,가능,3.0,1,K25cF2K7X6,B플랫폼,2025-01-26,0,3,2,39.0,0.07090909090909091,0.0026818869481501856,9,6,겨울,36
TRAIN_0122,현장확인,3000.0,72.0,19.8,5.0,8.0,서향,1.0,1.0,불가능,5.0,1,S12iP7V0Q9,A플랫폼,2024-12-24,0,2,2,73.0,0.024333333333333332,0.0012289562289562288,7,6,겨울,69
TRAIN_0124,서류확인,15350.0,29.0,18.88,4.0,19.0,동향,1.0,1.0,가능,25.0,0,G52Iz8V2B9,A플랫폼,2024-03-06,0,2,2,29.0,0.0018892508143322476,0.00010006625075912329,5,6,봄,362
TRAIN_0126,현장확인,14250.0,45.0,34.54,2.0,2.0,남향,1.0,1.0,불가능,21.0,1,G52Iz8V2B9,D플랫폼,2024-06-11,0,1,2,46.0,0.0032280701754385964,9.345889332480013e-05,5,10,여름,265
TRAIN_0129,현장확인,36650.0,41.0,26.25,3.0,7.0,북동향,1.0,1.0,가능,4.0,5,J52gJ2E4T6,C플랫폼,2024-09-11,0,3,2,46.0,0.0012551159618008185,4.781394140193594e-05,10,5,가을,173
TRAIN_0132,현장확인,18800.0,31.0,24.29,4.0,11.0,서향,1.0,1.0,가능,34.0,8,G52Iz8V2B9,A플랫폼,2024-02-08,0,3,2,39.0,0.0020744680851063828,8.540420276271646e-05,2,5,겨울,389
TRAIN_0133,서류확인,2550.0,74.0,40.12,4.0,6.0,동향,1.0,1.0,가능,2.0,10,O18HJ6L0R2,A플랫폼,2025-01-01,0,1,2,84.0,0.03294117647058824,0.00082106621312533,8,9,겨울,61
TRAIN_0134,전화확인,40200.0,15.0,43.03,5.0,10.0,서향,2.0,1.0,가능,19.0,0,c25Ms9V8I4,C플랫폼,2024-11-28,0,5,0,15.0,0.00037313432835820896,8.671492641371345e-06,4,3,가을,95
TRAIN_0135,현장확인,40650.0,59.0,32.34,4.0,6.0,서향,2.0,1.0,가능,1.0,6,j90UQ8N6M3,A플랫폼,2024-03-21,1,6,0,65.0,0.0015990159901599016,4.9443908168209696e-05,4,8,봄,347
TRAIN_0137,현장확인,7600.0,55.0,19.83,2.0,5.0,동향,1.0,1.0,불가능,17.0,5,K95Xf2B9C6,A플랫폼,2024-09-06,0,2,2,60.0,0.007894736842105263,0.00039812086949597903,3,6,가을,178
TRAIN_0138,현장확인,36350.0,47.0,33.8,3.0,7.0,남향,2.0,1.0,가능,17.0,10,D24eh4J3C3,H플랫폼,2024-11-24,0,6,0,57.0,0.0015680880330123795,4.639313707137218e-05,4,8,가을,99
TRAIN_0141,현장확인,8900.0,40.0,17.5,4.0,5.0,서향,1.0,1.0,불가능,2.0,10,T86RB7R1M3,A플랫폼,2024-12-11,0,2,2,50.0,0.0056179775280898875,0.00032102728731942215,3,6,겨울,82
TRAIN_0142,서류확인,10600.0,45.0,17.5,9.0,21.0,남동향,1.0,1.0,가능,238.0,14,n74bA7B3O7,G플랫폼,2024-11-28,0,2,2,59.0,0.005566037735849056,0.0003180592991913747,3,6,가을,95
TRAIN_0145,현장확인,800.0,5.0,29.96,9.0,9.0,동향,2.0,1.0,가능,1.0,10,w37Qk3B9D2,B플랫폼,2024-10-17,0,6,0,15.0,0.01875,0.0006258344459279038,6,7,가을,137
TRAIN_0146,현장확인,19350.0,38.0,27.35,1.0,2.0,동향,1.0,1.0,불가능,17.0,9,G52Iz8V2B9,B플랫폼,2024-11-17,0,3,2,47.0,0.002428940568475452,8.880952718374595e-05,2,5,가을,106
TRAIN_0147,현장확인,15450.0,8.0,17.5,7.0,7.0,남향,1.0,1.0,가능,4.0,5,n74bA7B3O7,G플랫폼,2024-08-09,1,2,2,13.0,0.0008414239482200647,4.808136846971798e-05,5,6,여름,206
TRAIN_0148,서류확인,6900.0,39.0,28.6,2.0,3.0,북서향,2.0,1.0,불가능,17.0,0,Y65Hw0Z3K0,A플랫폼,2024-10-02,0,6,0,39.0,0.005652173913043478,0.0001976284584980237,4,8,가을,152
TRAIN_0149,현장확인,32750.0,39.0,39.15,10.0,16.0,서향,2.0,2.0,가능,1.0,0,G52Iz8V2B9,A플랫폼,2023-10-21,0,4,4,39.0,0.0011908396946564885,3.0417361293907755e-05,10,0,가을,499
TRAIN_0150,현장확인,3000.0,32.0,29.04,4.0,4.0,동향,1.0,1.0,불가능,6.0,2,G52Iz8V2B9,A플랫폼,2023-12-21,0,1,2,34.0,0.011333333333333334,0.00039026629935720846,3,10,겨울,438
TRAIN_0151,현장확인,14900.0,29.0,30.49,10.0,19.0,동향,2.0,1.0,불가능,4.0,7,G52Iz8V2B9,B플랫폼,2023-11-02,0,6,0,36.0,0.0024161073825503354,7.92426166792501e-05,4,8,가을,487
TRAIN_0152,현장확인,750.0,17.0,30.17,3.0,4.0,동향,1.0,1.0,가능,43.0,10,G52Iz8V2B9,B플랫폼,2024-11-28,0,1,2,27.0,0.036,0.0011932383162081537,7,6,가을,95
TRAIN_0154,현장확인,1050.0,54.0,19.83,4.0,3.0,남향,1.0,1.0,불가능,17.0,0,j79Xs5I3K0,A플랫폼,2024-11-06,0,2,2,54.0,0.05142857142857143,0.002593473092716663,9,6,가을,117
TRAIN_0155,현장확인,19300.0,45.0,17.5,4.0,4.0,동향,1.0,1.0,불가능,1.0,2,a15xR3G4V0,A플랫폼,2024-12-24,0,2,2,47.0,0.0024352331606217617,0.0001391561806069578,5,6,겨울,69
TRAIN_0156,현장확인,800.0,19.0,28.09,2.0,3.0,북향,2.0,1.0,불가능,17.0,16,a15xR3G4V0,A플랫폼,2023-07-07,1,6,0,35.0,0.04375,0.0015574937700249198,6,4,여름,605
TRAIN_0157,서류확인,1850.0,38.0,17.5,5.0,6.0,남동향,2.0,1.0,가능,17.0,9,d22DX4Y4P8,B플랫폼,2024-12-17,0,6,0,47.0,0.025405405405405406,0.0014517374517374517,6,4,겨울,76
TRAIN_0158,현장확인,14800.0,38.0,31.68,2.0,2.0,북향,2.0,1.0,가능,1.0,3,G52Iz8V2B9,B플랫폼,2024-01-09,0,6,0,41.0,0.00277027027027027,8.744539994539995e-05,4,8,겨울,419
TRAIN_0159,서류확인,2200.0,35.0,17.5,12.0,15.0,북동향,1.0,1.0,불가능,9.0,6,G52Iz8V2B9,C플랫폼,2024-04-24,0,2,2,41.0,0.018636363636363635,0.0010649350649350648,8,6,봄,313
TRAIN_0161,서류확인,15300.0,14.0,30.94,7.0,20.0,남동향,2.0,2.0,불가능,16.0,0,G52Iz8V2B9,C플랫폼,2023-10-10,0,4,1,14.0,0.0009150326797385621,2.9574424038091856e-05,10,2,가을,510
TRAIN_0164,현장확인,2600.0,33.0,25.77,5.0,8.0,동향,1.0,1.0,가능,6.0,0,S69fV9Z3J7,C플랫폼,2024-06-01,1,3,2,33.0,0.012692307692307692,0.0004925226112653353,0,5,여름,275
TRAIN_0165,서류확인,40600.0,32.0,20.47,5.0,10.0,북향,1.0,1.0,가능,22.0,0,G52Iz8V2B9,A플랫폼,2024-02-27,0,3,2,32.0,0.0007881773399014779,3.8504022467097114e-05,10,5,겨울,370
TRAIN_0166,현장확인,15000.0,75.0,44.76,5.0,6.0,남동향,2.0,1.0,불가능,4.0,17,n74bA7B3O7,G플랫폼,2024-05-01,1,5,0,92.0,0.0061333333333333335,0.00013702710753649093,4,3,봄,306
