매물확인방식,보증금,월세,전용면적,해당층,총층,방향,방수,욕실수,주차가능여부,총주차대수,관리비,허위매물여부,매물_HC,매물_DBSCAN,월세+관리비,전용면적_가격_비율,지역_KMedoids,지역_HDBSCAN,계절,매물_등록_경과일
서류확인,16750.0,20.0,32.78,3.0,3.0,남동향,1.0,1.0,가능,41.0,0,0,1,2,20.0,3.642555981532241e-05,5,10,가을,123
현장확인,19550.0,10.0,38.96,3.0,14.0,남향,1.0,1.0,가능,33.0,10,0,1,2,20.0,2.6258159723133962e-05,5,10,봄,359
서류확인,2200.0,12.0,29.98,7.0,8.0,남향,2.0,1.0,가능,6.0,0,0,6,0,12.0,0.00018193947480138275,4,8,가을,131
현장확인,2200.0,48.0,48.07,3.0,5.0,남동향,2.0,1.0,가능,4.0,0,0,5,0,48.0,0.00045388354104809275,6,3,가을,134
현장확인,39200.0,15.0,17.5,4.0,16.0,남향,1.0,1.0,가능,34.0,10,0,2,2,25.0,3.644314868804665e-05,5,6,가을,183
현장확인,33800.0,24.0,21.88,6.0,6.0,북향,1.0,1.0,가능,32.0,0,0,3,2,24.0,3.2452430146144114e-05,10,5,겨울,372
현장확인,10450.0,14.0,28.16,1.0,12.0,북향,1.0,1.0,가능,41.0,9,0,3,2,23.0,7.815898216615919e-05,2,5,겨울,4
서류확인,39300.0,63.0,21.88,4.0,6.0,서향,1.0,1.0,가능,8.0,10,0,3,2,73.0,8.489517190690838e-05,2,5,가을,112
현장확인,7350.0,18.0,35.03,3.0,8.0,남향,1.0,1.0,가능,50.0,5,0,1,2,23.0,8.933062234314222e-05,5,10,봄,322
전화확인,13800.0,54.0,20.21,8.0,9.0,동향,1.0,1.0,불가능,23.0,6,0,2,2,60.0,0.0002151324140008175,3,6,여름,556
현장확인,7550.0,48.0,17.5,2.0,3.0,남향,2.0,1.0,가능,27.0,0,0,6,0,48.0,0.00036329233680227057,4,8,겨울,436
현장확인,2200.0,39.0,19.83,2.0,7.0,남동향,1.0,1.0,불가능,17.0,4,0,2,2,43.0,0.0009856507587218631,8,6,여름,194
현장확인,8700.0,36.0,27.25,8.0,11.0,동향,1.0,1.0,가능,26.0,5,0,3,2,41.0,0.00017294105240957502,1,5,봄,309
서류확인,16450.0,11.0,31.86,4.0,6.0,동향,2.0,1.0,가능,4.0,9,0,6,0,20.0,3.8160874799893915e-05,4,8,겨울,80
서류확인,7050.0,56.0,18.9,2.0,8.0,남동향,1.0,1.0,가능,4.0,9,0,2,2,65.0,0.0004878231828586439,3,6,겨울,72
현장확인,1200.0,26.0,18.54,14.0,21.0,북향,1.0,1.0,가능,109.0,10,1,2,2,36.0,0.0016181229773462784,7,6,봄,288
현장확인,1100.0,74.0,25.49,4.0,7.0,남향,1.0,1.0,가능,1.0,1,1,3,2,75.0,0.0026748457505617177,9,6,봄,318
현장확인,1700.0,68.0,22.17,6.0,6.0,서향,1.0,1.0,가능,27.0,5,0,3,2,73.0,0.0019369046671442593,7,5,가을,159
현장확인,550.0,38.0,26.44,4.0,6.0,남동향,1.0,1.0,가능,3.0,1,0,3,2,39.0,0.0026818869481501856,9,6,겨울,36
현장확인,3000.0,72.0,19.8,5.0,8.0,서향,1.0,1.0,불가능,5.0,1,0,2,2,73.0,0.0012289562289562288,7,6,겨울,69
서류확인,15350.0,29.0,18.88,4.0,19.0,동향,1.0,1.0,가능,25.0,0,0,2,2,29.0,0.00010006625075912329,5,6,봄,362
현장확인,14250.0,45.0,34.54,2.0,2.0,남향,1.0,1.0,불가능,21.0,1,0,1,2,46.0,9.345889332480013e-05,5,10,여름,265
현장확인,36650.0,41.0,26.25,3.0,7.0,북동향,1.0,1.0,가능,4.0,5,0,3,2,46.0,4.781394140193594e-05,10,5,가을,173
현장확인,18800.0,31.0,24.29,4.0,11.0,서향,1.0,1.0,가능,34.0,8,0,3,2,39.0,8.540420276271646e-05,2,5,겨울,389
서류확인,2550.0,74.0,40.12,4.0,6.0,동향,1.0,1.0,가능,2.0,10,0,1,2,84.0,0.00082106621312533,8,9,겨울,61
전화확인,40200.0,15.0,43.03,5.0,10.0,서향,2.0,1.0,가능,19.0,0,0,5,0,15.0,8.671492641371345e-06,4,3,가을,95
현장확인,40650.0,59.0,32.34,4.0,6.0,서향,2.0,1.0,가능,1.0,6,1,6,0,65.0,4.9443908168209696e-05,4,8,봄,347
현장확인,7600.0,55.0,19.83,2.0,5.0,동향,1.0,1.0,불가능,17.0,5,0,2,2,60.0,0.00039812086949597903,3,6,가을,178
현장확인,36350.0,47.0,33.8,3.0,7.0,남향,2.0,1.0,가능,17.0,10,0,6,0,57.0,4.639313707137218e-05,4,8,가을,99
현장확인,8900.0,40.0,17.5,4.0,5.0,서향,1.0,1.0,불가능,2.0,10,0,2,2,50.0,0.00032102728731942215,3,6,겨울,82
서류확인,10600.0,45.0,17.5,9.0,21.0,남동향,1.0,1.0,가능,238.0,14,0,2,2,59.0,0.0003180592991913747,3,6,가을,95
현장확인,800.0,5.0,29.96,9.0,9.0,동향,2.0,1.0,가능,1.0,10,0,6,0,15.0,0.0006258344459279038,6,7,가을,137
현장확인,19350.0,38.0,27.35,1.0,2.0,동향,1.0,1.0,불가능,17.0,9,0,3,2,47.0,8.880952718374595e-05,2,5,가을,106
현장확인,15450.0,8.0,17.5,7.0,7.0,남향,1.0,1.0,가능,4.0,5,1,2,2,13.0,4.808136846971798e-05,5,6,여름,206
서류확인,6900.0,39.0,28.6,2.0,3.0,북서향,2.0,1.0,불가능,17.0,0,0,6,0,39.0,0.0001976284584980237,4,8,가을,152
현장확인,32750.0,39.0,39.15,10.0,16.0,서향,2.0,2.0,가능,1.0,0,0,4,4,39.0,3.0417361293907755e-05,10,0,가을,499
현장확인,3000.0,32.0,29.04,4.0,4.0,동향,1.0,1.0,불가능,6.0,2,0,1,2,34.0,0.00039026629935720846,3,10,겨울,438
현장확인,14900.0,29.0,30.49,10.0,19.0,동향,2.0,1.0,불가능,4.0,7,0,6,0,36.0,7.92426166792501e-05,4,8,가을,487
현장확인,750.0,17.0,30.17,3.0,4.0,동향,1.0,1.0,가능,43.0,10,0,1,2,27.0,0.0011932383162081537,7,6,가을,95
현장확인,1050.0,54.0,19.83,4.0,3.0,남향,1.0,1.0,불가능,17.0,0,0,2,2,54.0,0.002593473092716663,9,6,가을,117
현장확인,19300.0,45.0,17.5,4.0,4.0,동향,1.0,1.0,불가능,1.0,2,0,2,2,47.0,0.0001391561806069578,5,6,겨울,69
현장확인,800.0,19.0,28.09,2.0,3.0,북향,2.0,1.0,불가능,17.0,16,1,6,0,35.0,0.0015574937700249198,6,4,여름,605
서류확인,1850.0,38.0,17.5,5.0,6.0,남동향,2.0,1.0,가능,17.0,9,0,6,0,47.0,0.0014517374517374517,6,4,겨울,76
현장확인,14800.0,38.0,31.68,2.0,2.0,북향,2.0,1.0,가능,1.0,3,0,6,0,41.0,8.744539994539995e-05,4,8,겨울,419
서류확인,2200.0,35.0,17.5,12.0,15.0,북동향,1.0,1.0,불가능,9.0,6,0,2,2,41.0,0.0010649350649350648,8,6,봄,313
서류확인,15300.0,14.0,30.94,7.0,20.0,남동향,2.0,2.0,불가능,16.0,0,0,4,1,14.0,2.9574424038091856e-05,10,2,가을,510
현장확인,2600.0,33.0,25.77,5.0,8.0,동향,1.0,1.0,가능,6.0,0,1,3,2,33.0,0.0004925226112653353,0,5,여름,275
서류확인,40600.0,32.0,20.47,5.0,10.0,북향,1.0,1.0,가능,22.0,0,0,3,2,32.0,3.8504022467097114e-05,10,5,겨울,370
현장확인,15000.0,75.0,44.76,5.0,6.0,남동향,2.0,1.0,불가능,4.0,17,1,5,0,92.0,0.00013702710753649093,4,3,봄,306
현장확인,16550.0,49.0,36.85,2.0,3.0,남향,1.0,1.0,가능,3.0,15,0,1,2,64.0,0.0001049408273108503,5,10,겨울,444
현장확인,15350.0,11.0,18.64,5.0,20.0,동향,1.0,1.0,가능,3.0,8,0,2,2,19.0,6.640477555185862e-05,5,6,가을,539
현장확인,33800.0,28.0,32.48,9.0,11.0,서향,1.0,1.0,불가능,45.0,9,0,1,2,37.0,3.3703034366164346e-05,5,10,가을,463
현장확인,1250.0,68.0,30.98,1.0,19.0,서향,2.0,1.0,불가능,2.0,3,0,6,0,71.0,0.0018334409296320207,6,4,봄,285
현장확인,37650.0,64.0,33.3,8.0,18.0,북서향,1.0,1.0,가능,2.0,0,0,1,2,64.0,5.104706299925424e-05,5,10,가을,158
현장확인,17350.0,5.0,40.86,3.0,6.0,서향,2.0,1.0,불가능,17.0,9,0,5,0,14.0,1.974832174530025e-05,4,3,겨울,61
현장확인,10900.0,41.0,29.69,4.0,7.0,남서향,2.0,1.0,가능,1.0,1,0,6,0,42.0,0.0001297814418718192,4,8,여름,246
서류확인,39850.0,64.0,39.66,3.0,5.0,남향,2.0,1.0,가능,5.0,15,0,5,0,79.0,4.998573192082514e-05,4,3,겨울,59
서류확인,10500.0,22.0,28.82,5.0,6.0,남향,1.0,1.0,불가능,7.0,11,0,1,2,33.0,0.00010905125408942203,5,10,가을,124
현장확인,15050.0,54.0,31.31,14.0,19.0,남향,2.0,2.0,가능,32.0,9,0,4,1,63.0,0.00013369679053426724,1,2,봄,294
현장확인,2150.0,12.0,28.33,6.0,9.0,동향,2.0,1.0,가능,6.0,9,0,6,0,21.0,0.00034477380375803445,4,8,여름,190
전화확인,17000.0,61.0,20.47,4.0,6.0,북향,1.0,1.0,불가능,6.0,20,1,3,2,81.0,0.00023276530934796978,1,5,여름,563
전화확인,37400.0,18.0,29.98,4.0,7.0,남향,2.0,1.0,가능,21.0,15,0,6,0,33.0,2.9431385629635443e-05,4,8,가을,125
현장확인,14800.0,42.0,35.99,2.0,3.0,동향,2.0,1.0,불가능,17.0,0,0,6,0,42.0,7.885073180988712e-05,4,8,겨울,57
현장확인,10450.0,16.0,28.17,4.0,7.0,서향,2.0,1.0,가능,10.0,7,0,6,0,23.0,7.813123669858157e-05,4,8,여름,187
전화확인,36650.0,15.0,32.59,4.0,8.0,남향,1.0,1.0,가능,9.0,3,1,1,2,18.0,1.5070031693113874e-05,5,10,여름,244
현장확인,34350.0,12.0,19.83,4.0,9.0,남서향,1.0,1.0,불가능,17.0,3,1,2,2,15.0,2.202124168973392e-05,5,6,봄,306
현장확인,13750.0,19.0,35.87,5.0,6.0,서향,2.0,1.0,불가능,4.0,10,0,6,0,29.0,5.8798185366348175e-05,4,8,가을,172
현장확인,8150.0,47.0,17.5,13.0,17.0,북동향,2.0,2.0,불가능,2.0,5,0,4,3,52.0,0.00036459246275197195,0,1,가을,120
현장확인,8650.0,27.0,34.15,2.0,17.0,동향,2.0,1.0,불가능,12.0,4,0,6,0,31.0,0.00010494333906008006,4,8,가을,159
서류확인,13600.0,48.0,29.98,7.0,8.0,남향,2.0,1.0,가능,6.0,0,0,6,0,48.0,0.00011772554251854177,4,8,가을,116
현장확인,12950.0,15.0,17.5,4.0,14.0,남향,1.0,1.0,가능,104.0,12,0,2,2,27.0,0.00011913954771097628,5,6,여름,196
전화확인,8150.0,10.0,24.01,8.0,10.0,동향,2.0,1.0,가능,7.0,8,0,6,0,18.0,9.198621228884691e-05,4,8,가을,123
서류확인,13800.0,54.0,23.06,2.0,5.0,남향,1.0,1.0,가능,1.0,5,0,3,2,59.0,0.000185401661701673,1,5,가을,154
서류확인,32550.0,69.0,19.56,7.0,17.0,남동향,1.0,1.0,가능,20.0,3,0,2,2,72.0,0.00011308699216872579,5,6,겨울,419
현장확인,38800.0,12.0,33.83,3.0,10.0,남서향,1.0,1.0,가능,41.0,7,0,1,2,19.0,1.4475043501314943e-05,5,10,가을,507
서류확인,6550.0,45.0,29.98,4.0,7.0,서향,2.0,1.0,불가능,21.0,0,1,6,0,45.0,0.0002291604071925813,4,8,봄,349
전화확인,17600.0,12.0,30.3,4.0,5.0,서향,1.0,1.0,불가능,1.0,16,1,1,2,28.0,5.2505250525052505e-05,5,10,가을,514
현장확인,19600.0,23.0,36.36,4.0,6.0,서향,2.0,1.0,가능,4.0,2,0,6,0,25.0,3.5080038616106504e-05,4,8,여름,233
현장확인,32550.0,69.0,32.11,6.0,21.0,남향,1.0,1.0,불가능,21.0,0,0,1,2,69.0,6.60173051449008e-05,5,10,여름,246
현장확인,10850.0,2.0,24.83,1.0,10.0,북서향,1.0,1.0,불가능,11.0,3,0,3,2,5.0,1.8559383531516617e-05,10,5,겨울,387
현장확인,3100.0,56.0,25.45,4.0,8.0,남향,1.0,1.0,불가능,42.0,10,0,3,2,66.0,0.0008365549147601242,8,5,가을,156
현장확인,8300.0,51.0,44.29,1.0,2.0,남향,1.0,1.0,가능,38.0,5,0,1,2,56.0,0.000152336598595783,3,10,여름,205
현장확인,38350.0,19.0,28.52,5.0,5.0,북향,2.0,1.0,불가능,1.0,5,1,6,0,24.0,2.19430176403576e-05,4,8,가을,482
서류확인,18550.0,41.0,24.19,3.0,8.0,동향,1.0,1.0,가능,43.0,16,0,3,2,57.0,0.00012702671683850557,1,5,가을,147
현장확인,2550.0,71.0,36.26,15.0,15.0,서향,1.0,1.0,불가능,1.0,4,0,1,2,75.0,0.0008111352649167776,8,9,봄,354
현장확인,15700.0,37.0,36.35,7.0,9.0,동향,1.0,1.0,불가능,32.0,9,0,1,2,46.0,8.06034747106598e-05,5,10,겨울,414
현장확인,40000.0,21.0,24.25,10.0,18.0,서향,2.0,2.0,불가능,39.0,12,0,4,3,33.0,3.4020618556701034e-05,10,1,겨울,35
현장확인,37800.0,20.0,17.5,3.0,4.0,남동향,1.0,1.0,가능,3.0,0,0,2,2,20.0,3.0234315948601665e-05,5,6,겨울,82
현장확인,1900.0,19.0,17.5,4.0,14.0,남서향,1.0,1.0,가능,107.0,0,0,2,2,19.0,0.0005714285714285715,3,6,겨울,53
현장확인,38200.0,46.0,29.93,5.0,6.0,남향,2.0,1.0,가능,6.0,1,0,6,0,47.0,4.1108135387457295e-05,4,8,가을,155
현장확인,38350.0,26.0,32.72,3.0,8.0,동향,1.0,1.0,불가능,17.0,18,1,1,2,44.0,3.506501372317128e-05,5,10,봄,358
현장확인,14250.0,13.0,49.97,4.0,6.0,남향,2.0,1.0,불가능,2.0,0,0,5,0,13.0,1.8256567975873242e-05,4,3,겨울,52
전화확인,34450.0,48.0,23.1,12.0,14.0,북향,1.0,1.0,불가능,13.0,1,0,3,2,49.0,6.157364647930684e-05,2,5,겨울,438
서류확인,35600.0,5.0,39.12,4.0,14.0,남서향,2.0,1.0,가능,30.0,9,1,5,0,14.0,1.0052618276234463e-05,4,3,봄,278
현장확인,9500.0,65.0,17.5,3.0,6.0,남향,1.0,1.0,불가능,3.0,13,1,2,2,78.0,0.0004691729323308271,3,6,가을,146
현장확인,37300.0,73.0,26.24,8.0,9.0,남향,2.0,1.0,가능,14.0,13,0,6,0,86.0,8.78669979729288e-05,4,8,여름,189
현장확인,16750.0,37.0,33.14,4.0,8.0,북향,1.0,1.0,불가능,50.0,13,0,1,2,50.0,9.007467190300759e-05,5,10,겨울,419
전화확인,1450.0,8.0,23.14,3.0,7.0,북동향,1.0,1.0,가능,6.0,13,0,3,2,21.0,0.0006258754805829583,0,5,겨울,51
현장확인,34050.0,19.0,43.14,10.0,21.0,남향,1.0,1.0,불가능,36.0,13,0,1,2,32.0,2.178475706932386e-05,5,10,겨울,431
현장확인,14500.0,65.0,29.95,3.0,9.0,북향,2.0,1.0,불가능,32.0,6,1,6,0,71.0,0.0001634908755972598,4,8,가을,509
현장확인,6850.0,2.0,23.22,6.0,11.0,서향,1.0,1.0,불가능,15.0,9,0,3,2,11.0,6.915759759080078e-05,2,5,봄,295
현장확인,10050.0,44.0,32.38,4.0,4.0,동향,2.0,1.0,불가능,17.0,8,0,6,0,52.0,0.00015979398867306454,4,8,가을,148
현장확인,9050.0,5.0,27.36,3.0,10.0,남향,1.0,1.0,불가능,17.0,5,0,3,2,10.0,4.038641724015379e-05,10,5,겨울,87
현장확인,16300.0,70.0,26.25,3.0,7.0,서향,1.0,1.0,불가능,4.0,15,1,3,2,85.0,0.000198656149576395,1,5,봄,330
전화확인,40200.0,2.0,17.5,9.0,11.0,북향,1.0,1.0,가능,21.0,9,0,2,2,11.0,1.5636105188343994e-05,5,6,가을,145
현장확인,12800.0,22.0,45.27,2.0,16.0,동향,1.0,1.0,불가능,39.0,10,0,1,2,32.0,5.5224210293792795e-05,5,10,여름,212
현장확인,9700.0,10.0,29.27,11.0,18.0,북향,2.0,1.0,가능,26.0,14,0,6,0,24.0,8.453115149038986e-05,4,8,여름,247
서류확인,18300.0,60.0,17.5,3.0,4.0,남동향,1.0,1.0,불가능,2.0,1,0,2,2,61.0,0.00019047619047619048,5,6,겨울,18
현장확인,14400.0,1.0,26.12,1.0,4.0,남향,1.0,1.0,가능,47.0,0,0,3,2,1.0,2.6586693891441213e-06,10,5,가을,521
현장확인,8100.0,68.0,17.5,3.0,18.0,북서향,1.0,1.0,불가능,44.0,0,0,2,2,68.0,0.0004797178130511464,3,6,겨울,397
현장확인,9950.0,59.0,26.44,2.0,3.0,남동향,1.0,1.0,불가능,17.0,0,0,3,2,59.0,0.00022426808779145346,1,5,가을,182
서류확인,15850.0,53.0,26.25,3.0,7.0,동향,1.0,1.0,가능,6.0,9,0,3,2,62.0,0.00014901607330629414,1,5,겨울,80
현장확인,36100.0,64.0,36.71,3.0,5.0,남향,2.0,1.0,불가능,4.0,2,0,6,0,66.0,4.9802638181569854e-05,4,8,겨울,43
현장확인,2650.0,75.0,17.5,15.0,18.0,남동향,1.0,1.0,가능,42.0,4,0,2,2,79.0,0.0017035040431266847,7,6,겨울,409
